"longitude","latitude","mean_temp"
-174.5,-11.5,NA
-174.5,-10.5,NA
-174.5,-9.5,NA
-174.5,-8.5,NA
-174.5,-7.5,NA
-174.5,-6.5,NA
-174.5,-5.5,NA
-174.5,-4.5,NA
-174.5,-3.5,NA
-174.5,-2.5,NA
-174.5,-1.5,NA
-174.5,-0.5,NA
-174.5,0.5,NA
-174.5,1.5,NA
-174.5,2.5,NA
-174.5,3.5,NA
-174.5,4.5,NA
-174.5,5.5,NA
-174.5,6.5,NA
-174.5,7.5,NA
-174.5,8.5,NA
-174.5,9.5,NA
-174.5,10.5,NA
-174.5,11.5,NA
-174.5,12.5,NA
-174.5,13.5,NA
-174.5,14.5,NA
-174.5,15.5,NA
-174.5,16.5,NA
-174.5,17.5,NA
-174.5,18.5,NA
-174.5,19.5,NA
-174.5,20.5,NA
-174.5,21.5,NA
-174.5,22.5,NA
-174.5,23.5,NA
-174.5,24.5,NA
-174.5,25.5,NA
-174.5,26.5,NA
-174.5,27.5,NA
-174.5,28.5,NA
-174.5,29.5,NA
-174.5,30.5,NA
-174.5,31.5,NA
-174.5,32.5,NA
-174.5,33.5,NA
-174.5,34.5,NA
-174.5,35.5,NA
-174.5,36.5,NA
-174.5,37.5,NA
-174.5,38.5,NA
-174.5,39.5,NA
-174.5,40.5,NA
-174.5,41.5,NA
-174.5,42.5,NA
-174.5,43.5,NA
-174.5,44.5,NA
-174.5,45.5,NA
-174.5,46.5,NA
-174.5,47.5,NA
-174.5,48.5,NA
-174.5,49.5,NA
-174.5,50.5,NA
-174.5,51.5,NA
-174.5,52.5,4.8405945175221
-174.5,53.5,NA
-174.5,54.5,NA
-174.5,55.5,NA
-174.5,56.5,NA
-174.5,57.5,NA
-174.5,58.5,NA
-174.5,59.5,NA
-174.5,60.5,NA
-174.5,61.5,NA
-174.5,62.5,NA
-174.5,63.5,NA
-174.5,64.5,-3.18113597358062
-174.5,65.5,-5.90119350073377
-174.5,66.5,-7.08117441083079
-174.5,67.5,-7.83552714195985
-174.5,68.5,NA
-174.5,69.5,NA
-174.5,70.5,NA
-174.5,71.5,NA
